"naam","id","code","uic","middel_naam","korte_naam","friendly","land","type","geo_lat","geo_lng"
"Baflo",74,"bf",8400089,"Baflo","Baflo","baflo","NL","stoptreinstation",53.3608969,6.5185581
"Barendrecht",98,"brd",8400090,"Barendrecht","Barendrcht","barendrecht","NL","stoptreinstation",51.8547210693359,4.5533332824707
"Barneveld Centrum",87,"bnc",8400091,"Barneveld C.","Barnevld C","barneveld-centrum","NL","stoptreinstation",52.1399993896484,5.59027767181396
"Barneveld Noord",89,"bnn",8400092,"Barneveld Noord","Barnevld N","barneveld-noord","NL","stoptreinstation",52.1613883972168,5.59805536270142
"Barneveld Zuid",764,"bnz",8400115,"Barneveld Zuid","Barnevld Z","barneveld-zuid","NL","stoptreinstation",52.128853,5.60246
"Bedum",64,"bdm",8400094,"Bedum","Bedum","bedum","NL","stoptreinstation",53.3068857,6.593054
"Beek-Elsloo",78,"bk",8400096,"Beek-Elsloo","Beek-E","beek-elsloo","NL","stoptreinstation",50.9474983215332,5.78666687011719
"Beesd",106,"bsd",8400097,"Beesd","Beesd","beesd","NL","stoptreinstation",51.8994445800781,5.19444465637207
"Beilen",82,"bl",8400100,"Beilen","Beilen","beilen","NL","stoptreinstation",52.8547210693359,6.52111101150513
"Bergen op Zoom",75,"bgn",8400108,"Bergen op Zoom","Bergen opZ","bergen-op-zoom","NL","stoptreinstation",51.4938888549805,4.29611110687256
"Best",73,"bet",8400112,"Best","Best","best","NL","stoptreinstation",51.5099983215332,5.38916683197022
"Beverwijk",111,"bv",8400113,"Beverwijk","Beverwijk","beverwijk","NL","intercitystation",52.4783325195313,4.65666675567627
"Bilthoven",77,"bhv",8400114,"Bilthoven","Bilthoven","bilthoven","NL","stoptreinstation",52.1300010681152,5.20388889312744
"Blerick",97,"br",8400117,"Blerick","Blerick","blerick","NL","stoptreinstation",51.372501373291,6.15500020980835
"Bloemendaal",83,"bll",8400118,"Bloemendaal","Bloemendl","bloemendaal","NL","stoptreinstation",52.404167175293,4.62750005722046
"Bodegraven",63,"bdg",8400121,"Bodegraven","Bodegraven","bodegraven","NL","stoptreinstation",52.0813903808594,4.7461109161377
"Borne",86,"bn",8400124,"Borne","Borne","borne","NL","stoptreinstation",52.2988891601562,6.74805545806885
"Boskoop",107,"bsk",8400125,"Boskoop","Boskoop","boskoop","NL","stoptreinstation",52.0777778625488,4.64694452285767
"Boven-Hardinxveld",546,"bhdv",8400236,"Boven-Hardinxv.","Boven-Har","boven-hardinxveld","NL","stoptreinstation",51.832222,4.878056
"Bovenkarspel Flora",79,"bkf",8400230,"Bovenkarspel Fl.","Bovenk Flo","bovenkarspel-flora","NL","stoptreinstation",52.6961097717285,5.25277757644653
"Bovenkarspel-Grootebroek",80,"bkg",8400127,"Bovenkarspel-Gr.","Bovenk-Gr","bovenkarspel-grootebroek","NL","stoptreinstation",52.6949996948242,5.23777770996094
"Boxmeer",85,"bmr",8400128,"Boxmeer","Boxmeer","boxmeer","NL","knooppuntstoptreinstation",51.6445217676531,5.93903303146362
"Boxtel",109,"btl",8400129,"Boxtel","Boxtel","boxtel","NL","knooppuntstoptreinstation",51.58433,5.31912
"Breda",61,"bd",8400131,"Breda","Breda","breda","NL","knooppuntintercitystation",51.5955543518066,4.78000020980835
"Breda-Prinsenbeek",65,"bdpb",8400132,"Prinsenbeek","Prinsenbk","breda-prinsenbeek","NL","stoptreinstation",51.606388092041,4.72083330154419
"Breukelen",81,"bkl",8400133,"Breukelen","Breukelen","breukelen","NL","knooppuntstoptreinstation",52.17149,4.9906
"Brummen",84,"bmn",8400136,"Brummen","Brummen","brummen","NL","stoptreinstation",52.0911102294922,6.14694452285767
"Buitenpost",96,"bp",8400139,"Buitenpost","Buitenpost","buitenpost","NL","knooppuntsneltreinstation",53.2564547,6.1446496
"Bunde",62,"bde",8400140,"Bunde","Bunde","bunde","NL","stoptreinstation",50.8969459533691,5.73666667938232
"Bunnik",88,"bnk",8400141,"Bunnik","Bunnik","bunnik","NL","stoptreinstation",52.0630569458008,5.19444465637207
"Bussum Zuid",108,"bsmz",8400145,"Bussum Zuid","Bussum Z","bussum-zuid","NL","stoptreinstation",52.2658348083496,5.16305541992188
"Capelle Schollevaar",119,"cps",8400147,"Schollevaar","Schollevr","capelle-schollevaar","NL","stoptreinstation",51.9541664123535,4.58416652679443
"Castricum",113,"cas",8400151,"Castricum","Castricum","castricum","NL","intercitystation",52.5458335876465,4.65861129760742
"Chevremont",120,"cvm",8400152,"Chevremont","Chevremont","chevremont","NL","stoptreinstation",50.8761100769043,6.05972242355347
"Coevorden",117,"co",8400153,"Coevorden","Coevorden","coevorden","NL","knooppuntsneltreinstation",52.6636123657227,6.73555564880371
"Cuijk",115,"ck",8400155,"Cuijk","Cuijk","cuijk","NL","stoptreinstation",51.7266825879048,5.87429523468017
"Culemborg",116,"cl",8400154,"Culemborg","Culemborg","culemborg","NL","stoptreinstation",51.9466667175293,5.22694444656372
"Daarlerveen",121,"da",8400164,"Daarlerveen","Daarlervn","daarlerveen","NL","stoptreinstation",52.4407702,6.5759947
"Dalen",134,"dln",8400161,"Dalen","Dalen","dalen","NL","stoptreinstation",52.6941680908203,6.75805568695068
"Dalfsen",129,"dl",8400167,"Dalfsen","Dalfsen","dalfsen","NL","sneltreinstation",52.4983329772949,6.25861120223999
"De Vink",157,"dvnk",8400188,"De Vink","De Vink","de-vink","NL","stoptreinstation",52.1472206115723,4.4563889503479
"De Westereen",783,"dwe",8400745,"De Westereen","Westereen","de-westereen","NL","stoptreinstation",53.24817,6.03463
"Deinum",127,"dei",8400168,"Deinum","Deinum","deinum","NL","stoptreinstation",53.1888115,5.7281572
"Delden",123,"ddn",8400169,"Delden","Delden","delden","NL","stoptreinstation",52.2599983215332,6.7161111831665
"Delft",144,"dt",8400170,"Delft","Delft","delft","NL","knooppuntintercitystation",52.0066680908203,4.35638904571533
"Delft Zuid",147,"dtz",8400166,"Delft Zuid","Delft Z","delft-zuid","NL","stoptreinstation",51.9908332824707,4.36472225189209
"Delfzijl",158,"dz",8400171,"Delfzijl","Delfzijl","delfzijl","NL","stoptreinstation",53.3336625,6.9240797
"Delfzijl West",159,"dzw",8400175,"Delfzijl West","Delfzijl W","delfzijl-west","NL","stoptreinstation",53.3320834,6.9069092
"Den Dolder",132,"dld",8400179,"Den Dolder","Den Dolder","den-dolder","NL","knooppuntstoptreinstation",52.1402778625488,5.24277782440186
"Den Haag Centraal",214,"gvc",8400282,"Den Haag C.","Den Haag C","den-haag-centraal","NL","megastation",52.0802764892578,4.32499980926514
"Den Haag HS",213,"gv",8400280,"Den Haag HS","Dn Haag HS","den-haag-hs","NL","knooppuntintercitystation",52.0697212219238,4.32250022888184
"Den Haag Laan v NOI",302,"laa",8400380,"Laan v NOI","Laan v NOI","den-haag-laan-v-noi","NL","intercitystation",52.0786094665527,4.34277772903442
"Den Haag Mariahoeve",215,"gvm",8400278,"Mariahoeve","Mariahoeve","den-haag-mariahoeve","NL","stoptreinstation",52.0905570983887,4.36944437026978
"Den Haag Moerwijk",216,"gvmw",8400279,"Moerwijk","Moerwijk","den-haag-moerwijk","NL","stoptreinstation",52.0538902282715,4.3086109161377
"Den Haag Ypenburg",525,"ypb",8400379,"Ypenburg","Ypenburg","den-haag-ypenburg","NL","stoptreinstation",52.0552787780762,4.39222240447998
"Den Helder",229,"hdr",8400311,"Den Helder","Den Helder","den-helder","NL","intercitystation",52.9552764892578,4.76111125946045
"Den Helder Zuid",230,"hdrz",8400303,"Den Helder Zuid","Dn Heldr Z","den-helder-zuid","NL","stoptreinstation",52.9324989318848,4.76416683197022
"Deurne",137,"dn",8400172,"Deurne","Deurne","deurne","NL","stoptreinstation",51.4558334350586,5.78888893127441
"Deventer",153,"dv",8400173,"Deventer","Deventer","deventer","NL","knooppuntintercitystation",52.2574996948242,6.16055536270142
"Deventer Colmschate",154,"dvc",8400185,"Colmschate","Colmschate","deventer-colmschate","NL","stoptreinstation",52.2502784729004,6.21444463729858
"Didam",128,"did",8400174,"Didam","Didam","didam","NL","stoptreinstation",51.933502,6.1324106
"Diemen",135,"dmn",8400165,"Diemen","Diemen","diemen","NL","stoptreinstation",52.345832824707,4.9655556678772
"Diemen Zuid",136,"dmnz",8400163,"Diemen Zuid","Diemen Z","diemen-zuid","NL","stoptreinstation",52.3302764892578,4.95583343505859
"Dieren",141,"dr",8400176,"Dieren","Dieren","dieren","NL","intercitystation",52.0449981689453,6.10305547714233
"Doetinchem",145,"dtc",8400177,"Doetinchem","Doetinchem","doetinchem","NL","knooppuntstoptreinstation",51.9585962,6.2962148
"Doetinchem De Huet",146,"dtch",8400184,"De Huet","De Huet","doetinchem-de-huet","NL","stoptreinstation",51.9591413,6.2598521
"Dordrecht",124,"ddr",8400180,"Dordrecht","Dordrecht","dordrecht","NL","knooppuntintercitystation",51.8072204589844,4.66833353042603
"Dordrecht Stadspolders",125,"ddrs",8400186,"Stadspolders","Stadspldrs","dordrecht-stadspolders","NL","stoptreinstation",51.801944732666,4.71666669845581
"Dordrecht Zuid",126,"ddzd",8400181,"Dordrecht Zuid","Dordrcht Z","dordrecht-zuid","NL","stoptreinstation",51.7900009155273,4.67138910293579
"Driebergen-Zeist",122,"db",8400182,"Driebergen-Zeist","Driebergen","driebergen-zeist","NL","knooppuntstoptreinstation",52.0652770996094,5.25861120223999
"Driehuis",142,"drh",8400183,"Driehuis","Driehuis","driehuis","NL","stoptreinstation",52.4425010681152,4.63805532455444
"Dronryp",143,"drp",8400192,"Dronryp","Dronryp","dronryp","NL","stoptreinstation",53.1778086,5.6347411
"Dronten",682,"dron",8400198,"Dronten","Dronten","dronten","NL","stoptreinstation",52.5344,5.72089
"Duiven",156,"dvn",8400193,"Duiven","Duiven","duiven","NL","stoptreinstation",51.9433326721191,6.01472234725952
"Duivendrecht",155,"dvd",8400194,"Duivendrecht","Duivendrt","duivendrecht","NL","knooppuntstoptreinstation",52.3233337402344,4.93638896942139
"Echt",161,"ec",8400195,"Echt","Echt","echt","NL","stoptreinstation",51.1005554199219,5.87888908386231
"Ede Centrum",163,"edc",8400201,"Ede C.","Ede C","ede-centrum","NL","stoptreinstation",52.0436096191406,5.66833353042603
"Ede-Wageningen",162,"ed",8400200,"Ede-Wageningen","Ede-Wag","ede-wageningen","NL","knooppuntintercitystation",52.0277786254883,5.67305564880371
"Eijsden",164,"edn",8400219,"Eijsden","Eijsden","eijsden","NL","stoptreinstation",50.7719459533691,5.71000003814697
"Eindhoven",168,"ehv",8400206,"Eindhoven","Eindhoven","eindhoven","NL","megastation",51.4433326721191,5.48138904571533
"Eindhoven Strijp-S",784,"ehs",8400196,"Strijp-S","Strijp-S","eindhoven-strijp-s","NL","stoptreinstation",51.4511108398438,5.45583343505859
"Elst",184,"est",8400207,"Elst","Elst","elst","NL","knooppuntstoptreinstation",51.9169425964355,5.85500001907349
"Emmen",173,"emn",8400208,"Emmen","Emmen","emmen","NL","sneltreinstation",52.7900009155273,6.89944458007812
"Emmen Zuid",174,"emnz",8400407,"Emmen Zuid","Emmen Z","emmen-zuid","NL","sneltreinstation",52.7488663746914,6.87478065490722
"Enkhuizen",170,"ekz",8400210,"Enkhuizen","Enkhuizen","enkhuizen","NL","stoptreinstation",52.6991653442383,5.28638887405396
"Enschede",178,"es",8400212,"Enschede","Enschede","enschede","NL","knooppuntintercitystation",52.2224998474121,6.8899998664856
"Enschede De Eschmarke",181,"ese",8400217,"De Eschmarke","Eschmarke","enschede-de-eschmarke","NL","stoptreinstation",52.2213897705078,6.95111131668091
"Enschede Kennispark",785,"esk",8400221,"Kennispark","Kennispark","enschede-kennispark","NL","stoptreinstation",52.2374992370605,6.83888912200928
"Ermelo",172,"eml",8400216,"Ermelo","Ermelo","ermelo","NL","stoptreinstation",52.3016662597656,5.61472225189209
"Etten-Leur",185,"etn",8400218,"Etten-Leur","Etten-Leur","etten-leur","NL","intercitystation",51.5750007629395,4.63583326339722
"Eygelshoven",165,"egh",8400338,"Eygelshoven","Eygelshov","eygelshoven","NL","stoptreinstation",50.8905563354492,6.04500007629395
"Eygelshoven Markt",166,"eghm",8400234,"Eygelshoven Mrkt","Eygelsh M","eygelshoven-markt","NL","stoptreinstation",50.8960498196442,6.06024742126464
"Feanwalden",786,"fwd",8400638,"Feanwalden","Feanwalden","feanwalden","NL","stoptreinstation",53.2351834,5.9886615
"Franeker",187,"fn",8400232,"Franeker","Franeker","franeker","NL","stoptreinstation",53.1824488,5.5483094
"Gaanderen",199,"gdr",8400241,"Gaanderen","Gaanderen","gaanderen","NL","stoptreinstation",51.93074,6.3486
"Geldermalsen",198,"gdm",8400244,"Geldermalsen","Geldermlsn","geldermalsen","NL","knooppuntstoptreinstation",51.88301,5.27127
"Geldrop",209,"gp",8400245,"Geldrop","Geldrop","geldrop","NL","stoptreinstation",51.4197235107422,5.55055570602417
"Geleen Oost",203,"gln",8400246,"Geleen Oost","Geleen O","geleen-oost","NL","stoptreinstation",50.9669456481934,5.84305572509766
"Geleen-Lutterade",320,"lut",8400248,"Geleen-Lutterade","Geleen-Lut","geleen-lutterade","NL","stoptreinstation",50.9755554199219,5.82472229003906
"Gilze-Rijen",218,"gz",8400251,"Gilze-Rijen","Gilze-Rij","gilze-rijen","NL","stoptreinstation",51.583610534668,4.92611122131348
"Glanerbrug",194,"gbr",8400262,"Glanerbrug","Glanerbrug","glanerbrug","NL","stoptreinstation",52.2186126708984,6.97444438934326
"Goes",211,"gs",8400253,"Goes","Goes","goes","NL","stoptreinstation",51.4980545043945,3.89055562019348
"Goor",207,"go",8400254,"Goor","Goor","goor","NL","stoptreinstation",52.2302780151367,6.58444452285767
"Gorinchem",210,"gr",8400256,"Gorinchem","Gorinchem","gorinchem","NL","knooppuntstoptreinstation",51.8338890075684,4.96833324432373
"Gouda",195,"gd",8400258,"Gouda","Gouda","gouda","NL","knooppuntintercitystation",52.0175018310547,4.70444440841675
"Gouda Goverwelle",196,"gdg",8400257,"Gouda Goverwelle","Goverwelle","gouda-goverwelle","NL","stoptreinstation",52.0149993896484,4.7408332824707
"Gramsbergen",193,"gbg",8400259,"Gramsbergen","Gramsbergn","gramsbergen","NL","stoptreinstation",52.6091651916504,6.67583322525024
"Grijpskerk",202,"gk",8400267,"Grijpskerk","Grijpskerk","grijpskerk","NL","stoptreinstation",53.2557403255735,6.30977869033813
"Groningen",204,"gn",8400263,"Groningen","Groningen","groningen","NL","knooppuntintercitystation",53.2105560302734,6.56472206115723
"Groningen Europapark",201,"gerp",8400238,"Europapark","Europapark","groningen-europapark","NL","stoptreinstation",53.20480027,6.5854178
"Groningen Noord",206,"gnn",8400264,"Groningen Noord","Groningn N","groningen-noord","NL","stoptreinstation",53.2301469,6.5563172
"Grou-Jirnsum",217,"gw",8400266,"Grou-Jirnsum","Grou-Jirns","grou-jirnsum","NL","stoptreinstation",53.0888900756836,5.82250022888184
"Haarlem",244,"hlm",8400285,"Haarlem","Haarlem","haarlem","NL","knooppuntintercitystation",52.3877792358398,4.63833332061768
"Haarlem Spaarnwoude",245,"hlms",8400270,"Spaarnwoude","Spaarnwde","haarlem-spaarnwoude","NL","stoptreinstation",52.3827781677246,4.67305564880371
"Halfweg-Zwanenburg",684,"hwzb",8400400,"Halfweg-Zwanenb.","Halfweg-Zw","halfweg-zwanenburg","NL","stoptreinstation",52.385935,4.747165
"Hardenberg",226,"hdb",8400293,"Hardenberg","Hardenberg","hardenberg","NL","sneltreinstation",52.5727767944336,6.62861108779907
"Harderwijk",225,"hd",8400294,"Harderwijk","Harderwijk","harderwijk","NL","knooppuntstoptreinstation",52.3375015258789,5.61972236633301
"Hardinxveld Blauwe Zoom",685,"hbzm",8400438,"Blauwe Zoom","Blauwe Zm","hardinxveld-blauwe-zoom","NL","stoptreinstation",51.82944,4.81556
"Hardinxveld-Giessendam",205,"gnd",8400295,"Hardinxveld-G.","Hardinxvld","hardinxveld-giessendam","NL","stoptreinstation",51.8305549621582,4.83583354949951
"Haren",264,"hrn",8400297,"Haren","Haren","haren","NL","stoptreinstation",53.1761093139648,6.61722230911255
"Harlingen",242,"hlg",8400296,"Harlingen","Harlingen","harlingen","NL","stoptreinstation",53.1704205,5.4251932
"Harlingen Haven",243,"hlgh",8400298,"Harlingen Haven","Harl Haven","harlingen-haven","NL","stoptreinstation",53.174917,5.4112885
"Heemskerk",238,"hk",8400317,"Heemskerk","Heemskerk","heemskerk","NL","stoptreinstation",52.4952774047852,4.68694448471069
"Heemstede-Aerdenhout",219,"had",8400302,"Heemstede-A.","Heemstede","heemstede-aerdenhout","NL","intercitystation",52.3591651916504,4.60666656494141
"Heerenveen",260,"hr",8400305,"Heerenveen","Heerenveen","heerenveen","NL","intercitystation",52.9613876342773,5.91416645050049
"Heerenveen IJsstadion",599,"hry",8400301,"IJsstadion","IJsstadion","heerenveen-ijsstadion","NL","facultatiefstation",52.9352760314941,5.94388866424561
"Heerhugowaard",274,"hwd",8400306,"Heerhugowaard","Heerhugow","heerhugowaard","NL","knooppuntstoptreinstation",52.6697235107422,4.82277774810791
"Heerlen",261,"hrl",8400307,"Heerlen","Heerlen","heerlen","NL","knooppuntintercitystation",50.8908348083496,5.97499990463257
"Heerlen De Kissel",263,"hrlk",8400409,"Hrl De Kissel","De Kissel","heerlen-de-kissel","NL","stoptreinstation",50.8901689328708,5.99334239959716
"Heerlen Woonboulevard",262,"hrlw",8400404,"Hrl Woonblvd","Heerlen W","heerlen-woonboulevard","NL","stoptreinstation",50.896667,5.952222
"Heeze",276,"hze",8400308,"Heeze","Heeze","heeze","NL","stoptreinstation",51.3849983215332,5.56944465637207
"Heiloo",246,"hlo",8400309,"Heiloo","Heiloo","heiloo","NL","stoptreinstation",52.5994453430176,4.70055532455444
"Heino",254,"hno",8400310,"Heino","Heino","heino","NL","stoptreinstation",52.4272232055664,6.22111129760742
"Helmond",247,"hm",8400313,"Helmond","Helmond","helmond","NL","knooppuntintercitystation",51.4755554199219,5.66194438934326
"Helmond 't Hout",250,"hmh",8400300,"Helmond 't Hout","'t Hout","helmond-t-hout","NL","stoptreinstation",51.46794,5.63085
"Helmond Brandevoort",249,"hmbv",8400242,"Brandevoort","Brandevrt","helmond-brandevoort","NL","stoptreinstation",51.4622230529785,5.60722208023071
"Helmond Brouwhuis",248,"hmbh",8400299,"Brouwhuis","Brouwhuis","helmond-brouwhuis","NL","stoptreinstation",51.47068,5.70177
"Hemmen-Dodewaard",251,"hmn",8400315,"Hemmen-Dodewaard","Hemmen-D","hemmen-dodewaard","NL","stoptreinstation",51.9222129,5.6737254
"Hengelo",233,"hgl",8400316,"Hengelo","Hengelo","hengelo","NL","knooppuntintercitystation",52.2616653442383,6.79388904571533
"Hengelo Gezondheidspark",686,"hglg",8400433,"Hengelo Gezondh.","Gezondhprk","hengelo-gezondheidspark","NL","stoptreinstation",52.261667,6.773611
"Hengelo Oost",234,"hglo",8400312,"Hengelo Oost","Hengelo O","hengelo-oost","NL","stoptreinstation",52.2688903808594,6.81944465637207
"Hillegom",237,"hil",8400329,"Hillegom","Hillegom","hillegom","NL","stoptreinstation",52.3025016784668,4.56555557250977
"Hilversum",271,"hvs",8400322,"Hilversum","Hilversum","hilversum","NL","knooppuntintercitystation",52.2258338928223,5.18194437026978
"Hilversum Media Park",722,"hvsm",8400324,"Media Park","Media Park","hilversum-media-park","NL","stoptreinstation",52.2380561828613,5.17388868331909
"Hilversum Sportpark",273,"hvsp",8400570,"Sportpark","Sportpark","hilversum-sportpark","NL","stoptreinstation",52.2161102294922,5.18722200393677
"Hindeloopen",255,"hnp",8400323,"Hindeloopen","Hindeloopn","hindeloopen","NL","stoptreinstation",52.9464903,5.423063
"Hoensbroek",224,"hb",8400326,"Hoensbroek","Hoensbroek","hoensbroek","NL","stoptreinstation",50.9055557250977,5.93055534362793
"Hoevelaken",687,"hvl",8400490,"Hoevelaken","Hoevelaken","hoevelaken","NL","stoptreinstation",52.16652,5.45718
"Hollandsche Rading",259,"hor",8400327,"Holl. Rading","Hol Rading","hollandsche-rading","NL","stoptreinstation",52.1777763366699,5.17916679382324
"Holten",258,"hon",8400328,"Holten","Holten","holten","NL","stoptreinstation",52.2838897705078,6.42027759552002
"Hoofddorp",232,"hfd",8400332,"Hoofddorp","Hoofddorp","hoofddorp","NL","stoptreinstation",52.2933349609375,4.70055532455444
"Hoogeveen",235,"hgv",8400330,"Hoogeveen","Hoogeveen","hoogeveen","NL","stoptreinstation",52.7338905334473,6.47361087799072
"Hoogezand-Sappemeer",236,"hgz",8400331,"Hoogezand-Sap.","Hoogezand","hoogezand-sappemeer","NL","knooppuntstoptreinstation",53.1598181316756,6.77075386047363
"Hoogkarspel",239,"hks",8400334,"Hoogkarspel","Hoogkrspl","hoogkarspel","NL","stoptreinstation",52.6905555725098,5.18388891220093
"Hoorn",252,"hn",8400337,"Hoorn","Hoorn","hoorn","NL","knooppuntintercitystation",52.6447219848633,5.05555534362793
"Hoorn Kersenboogerd",253,"hnk",8400336,"Kersenboogerd","Hoorn Kers","hoorn-kersenboogerd","NL","stoptreinstation",52.6536102294922,5.08555555343628
"Horst-Sevenum",265,"hrt",8400339,"Horst-Sevenum","Horst-Sev","horst-sevenum","NL","stoptreinstation",51.4263877868652,6.04222202301025
"Houten",267,"htn",8400340,"Houten","Houten","houten","NL","knooppuntstoptreinstation",52.03402,5.16821
